House,EnergyProduction
1,749.2081210535068
2,674.8086509354856
3,837.5605604875843
4,658.5567813106995
6,487.95968602698014
7,707.7995767399258
8,487.62013858460085
9,598.291929857607
10,486.75835421114016
13,537.0863678122516
17,539.3140594787455
18,512.4483367640714
20,497.31069989761295
21,839.813932410887
23,502.9012628061827
26,737.4049092499703
28,673.8512361890173
30,513.2234734157369
34,554.839536298177
46,512.1620644145787
57,662.2526792981594
58,559.1640680022138
61,548.0332118746969
86,980.3387999636875
89,483.6571597336377
102,530.6515895417956
121,571.7841670388923
156,539.9733652834665
